name,id,city,lat,lon,category,created,status,members,join_mode,past_event_count,last_event,last_rsvp
Pittsburgh Motion & Design Meetup,22122372,Pittsburgh,40.47,-79.95,Tech,2017-01-27 23:53:46,active,74,open,2,2017-08-10 17:30:00,7
Want to Sell a Business? Pittsburgh,26338891,Pittsburgh,40.47,-79.95,Career & Business,2017-10-21 13:52:58,active,35,open,13,2018-01-17 15:00:00,1
Pittsburgh Business Referral Partners,22099152,Pittsburgh,40.47,-79.95,Career & Business,2017-01-26 16:35:44,active,50,open,1,2017-02-02 08:00:00,6
Google Developer Group (GDG) Pittsburgh,22059902,Pittsburgh,40.47,-79.95,Tech,2017-01-24 09:29:22,active,377,open,3,2017-09-30 10:00:00,50
Pittsburgh Vertica Analytic Database Meetup,22059480,Pittsburgh,40.47,-79.95,Tech,2017-01-24 08:48:56,active,70,open,1,2017-05-02 17:30:00,5
Pgh Biz Services Network,1513174,Pittsburgh,40.47,-79.95,Career & Business,2009-08-26 14:33:16,active,1,approval,0,,0
Our Family Dinner - Pittsburgh,21957888,Pittsburgh,40.47,-79.95,Socializing,2017-01-16 16:44:49,active,243,open,0,,0
Group Genie  (a nonprofit creativity team & action network),15247472,Pittsburgh,40.47,-79.95,Community & Environment,2014-06-22 17:21:25,active,39,open,0,,0
The Pittsburgh Whole Food Nutrition Meetup,999505,Pittsburgh,40.47,-79.95,Food & Drink,2008-02-07 17:53:07,active,1954,open,134,2017-07-26 17:00:00,1
Pittsburgh Beauty Industry Meetup,21847052,Pittsburgh,40.47,-79.95,Fashion & Beauty,2017-01-12 00:01:28,active,195,open,11,2018-01-08 13:00:00,1
SteelTown Who,21551326,Pittsburgh,40.47,-79.95,Sci-Fi & Fantasy,2016-12-11 21:26:49,active,35,open,0,,0
Network & Social - Pittsburgh Networking Events,21500365,Pittsburgh,40.47,-79.95,Career & Business,2016-12-06 21:57:04,active,147,open,0,,0
New Moon Gathering for Women,21345487,Pittsburgh,40.47,-79.95,Health & Wellbeing,2016-12-02 09:28:05,active,320,open,8,2017-08-20 18:30:00,1
Explorer Chicks of Pittsburgh,21336140,Pittsburgh,40.47,-79.95,Outdoors & Adventure,2016-12-01 14:17:59,active,648,open,16,2018-01-11 10:00:00,1
Pittsburgh Pride Families Meetup,25347404,Pittsburgh,40.47,-79.95,LGBT,2017-08-04 18:36:19,active,12,approval,2,2017-09-10 22:30:00,1
Western Pennsylvania Benedict Option,21181002,Pittsburgh,40.47,-79.95,Movements & Politics,2016-11-14 19:49:59,active,125,open,5,2017-12-01 20:00:00,1
Pittsburgh Acting Meetup,21159458,Pittsburgh,40.47,-79.95,Arts & Culture,2016-11-13 12:22:56,active,122,open,2,2017-01-15 17:30:00,4
Pittsburgh Antipsychiatry Meetup,21086551,Pittsburgh,40.47,-79.95,Movements & Politics,2016-11-08 11:00:40,active,12,approval,1,2016-11-18 19:30:00,1
Pittsburgh Small Business Meetup,21039990,Pittsburgh,40.47,-79.95,Career & Business,2016-11-04 11:34:50,active,651,open,4,2017-05-03 17:30:00,6
Pittsburgh Video Game Developers,21003395,Pittsburgh,40.47,-79.95,Tech,2016-11-02 01:51:52,active,60,approval,14,2018-01-10 20:30:00,0
Airport Java Development Meetup,20971662,Pittsburgh,40.47,-79.95,Tech,2016-10-30 20:48:21,active,26,open,1,2016-12-01 19:30:00,9
Pittsburgh Rideshare Meetup,20951635,Pittsburgh,40.47,-79.95,Career & Business,2016-10-29 09:04:50,active,6,open,0,,0
Lets show you a way of LIFE where the Grass truly is Greener,20882743,Pittsburgh,40.47,-79.95,Health & Wellbeing,2016-10-24 09:24:32,active,60,open,2,2016-11-17 19:30:00,4
Pittsburgh Meetup for those affected by eating disorders,20818757,Pittsburgh,40.47,-79.95,Support,2016-10-20 08:53:16,active,8,approval,1,2016-11-07 19:30:00,2
SHPE - WPA Professional Chapter,20654250,Pittsburgh,40.47,-79.95,Career & Business,2016-10-08 15:39:10,active,24,open,3,2017-02-06 19:30:00,1
Pittsburgh #learntocode Group,20630142,Pittsburgh,40.47,-79.95,Tech,2016-10-06 16:36:34,active,144,open,0,,0
Pittsburgh Cyber Security for Control Systems,20536416,Pittsburgh,40.47,-79.95,Tech,2016-09-30 18:04:04,active,46,open,0,,0
