name,id,city,lat,lon,category,created,status,members,join_mode,past_event_count,last_event,last_rsvp
WOMEN'S SMALL BUSINESS ASSOCIATION TM. - Allegheny County,635921,Pittsburgh,40.55,-80.04,Career & Business,2007-08-20 18:28:29,active,1001,open,915,2018-01-19 13:00:00,2
"MOMS Club® of Cranberry Twp. North, PA",18780086,Cranberry Twp,40.71,-80.11,Parents & Family,2015-07-28 13:24:42,active,48,approval,348,2018-01-18 10:00:00,7
L.L.Bean Pittsburgh Outdoor Adventure Club,3349842,Pittsburgh,40.55,-80.04,Outdoors & Adventure,2012-02-23 08:22:28,active,4868,open,1578,2018-01-21 13:00:00,1
Steel City Information Security,5628352,Pittsburgh,40.45,-79.99,Tech,2012-10-30 12:59:15,active,788,open,57,2018-01-10 18:00:00,50
Alex Deacon Real Estate Networking Workshops,18816986,Carnegie,40.41,-80.09,Career & Business,2015-08-09 17:43:12,active,342,open,28,2018-01-13 10:00:00,31
Pittsburgh East Networking Group,13563532,Monroeville,40.43,-79.76,Career & Business,2014-03-26 10:55:13,active,82,approval,95,2018-01-16 12:30:00,24
The Pittsburgh Metaphysics Meetup Group,1349042,Pittsburgh,40.43,-79.89,New Age & Spirituality,2009-01-04 00:33:24,active,1291,open,2020,2018-01-21 12:00:00,1
Hiking Club Of Raccoon Creek,6285292,Pittsburgh,40.44,-80.07,Outdoors & Adventure,2012-12-18 11:25:51,active,1440,approval,267,2018-01-21 10:00:00,26
Make New Friends in Pittsburgh,25728656,Pittsburgh,40.47,-79.95,Socializing,2017-09-01 17:06:40,active,857,open,2,2018-01-11 05:00:00,28
Country Barn Farm,12866472,Pittsburgh,40.53,-79.88,Community & Environment,2014-02-13 14:53:02,active,326,open,79,2018-01-04 18:00:00,26
"Code for Pittsburgh, our Region's Code for America Brigade",18212345,Pittsburgh,40.4,-79.93,Tech,2014-11-24 16:44:12,active,737,open,112,2018-01-18 17:00:00,18
HackPGH,18629012,Pittsburgh,40.45,-79.98,Tech,2015-05-27 07:38:41,active,1617,open,79,2018-01-17 19:00:00,17
Grants Professionals of Western PA,20029333,Pittsburgh,40.45,-79.93,Community & Environment,2016-06-03 07:55:08,active,179,open,17,2017-11-29 12:00:00,8
The Pittsburgh Lesbian Professionals Social Group,1176473,Pittsburgh,40.5,-80.07,LGBT,2008-06-03 09:29:04,active,791,approval,184,2018-01-13 18:45:00,19
Morgantown Codes,6051682,Morgantown,39.64,-79.95,Tech,2012-11-29 18:57:01,active,133,open,14,2018-01-11 18:30:00,33
Service Design Pittsburgh,21831497,Pittsburgh,40.44,-79.95,Tech,2017-01-10 12:11:21,active,116,approval,8,2018-01-17 18:00:00,27
From Startup to Success,26138282,Pittsburgh,40.47,-79.95,Career & Business,2017-10-03 09:39:51,active,189,open,3,2018-01-18 09:00:00,22
Pittsburgh Single Professionals,19110593,Pittsburgh,40.47,-79.95,Singles,2015-11-10 23:05:36,active,3613,open,33,2017-12-16 07:30:00,10
Pittsburgh Travelers Meetup,21028406,Glenshaw,40.52,-79.95,Outdoors & Adventure,2016-11-03 11:35:37,active,329,approval,33,2018-01-20 12:00:00,12
Pittsburgh Feminists' Magick Full Moon Circle,18799529,Pittsburgh,40.44,-79.95,New Age & Spirituality,2015-08-03 20:08:59,active,510,open,37,2018-01-02 19:00:00,14
Japanese Language Study Group,1782914,Pittsburgh,40.44,-79.95,Sci-Fi & Fantasy,2011-02-13 00:21:06,active,681,open,910,2018-01-21 15:00:00,4
Women's Book Club,26452232,Bridgeville,40.36,-80.11,Book Clubs,2017-10-31 14:15:43,active,234,open,2,2018-01-09 19:00:00,8
South Hills Business Network,18544607,Pittsburgh,40.45,-79.99,Career & Business,2015-04-12 19:20:36,active,279,open,72,2018-01-16 09:00:00,16
MOMS Club of Ross/McCandless,9815712,Pittsburgh,40.55,-80.04,Parents & Family,2013-08-14 20:52:37,active,31,approval,619,2018-01-23 10:00:00,5
"Western Pa., Rails to Trails Bicyclers",4034892,Latrobe,40.31,-79.38,Outdoors & Adventure,2012-06-08 14:38:52,active,143,open,290,2017-12-07 09:30:00,1
"Pgh Food, Beer, Wine & Fun",9903332,Pittsburgh,40.42,-79.98,Socializing,2013-08-21 00:36:31,active,2458,open,946,2018-01-20 21:00:00,1
The Pittsburgh French Meetup Group,63868,Pittsburgh,40.43,-79.92,Language & Ethnic Identity,2003-10-22 16:39:49,active,974,approval,770,2018-01-20 10:00:00,7
Pittsburgh Badminton,18877001,Pittsburgh,40.47,-79.95,Sports & Recreation,2015-08-28 12:12:33,active,486,open,121,2018-01-21 18:30:00,11
Pittsburgh Pick-Up Indoor Volleyball,26458920,Pittsburgh,40.47,-79.95,Sports & Recreation,2017-11-01 08:31:29,active,199,open,8,2018-01-22 18:30:00,17
The Pittsburgh 30ish Social Group,1141992,Pittsburgh,40.42,-79.98,Socializing,2008-05-08 23:52:35,active,2746,open,822,2018-01-20 19:30:00,22
Autism/Asperger's Support Group and Social Meetup Pgh,1717390,Pittsburgh,40.44,-79.95,Support,2010-10-05 11:17:26,active,263,approval,275,2018-01-16 18:00:00,4
Pittsburgh Agile (@PittAgile | #PittAgile),1792120,Pittsburgh,40.46,-80.03,Tech,2011-03-02 11:31:00,active,1457,open,71,2017-11-15 17:30:00,31
Pittsburgh Power BI User Group,20185582,Pittsburgh,40.47,-79.95,Tech,2016-07-14 21:08:11,active,214,open,20,2018-01-01 07:00:00,4
Pittsburgh Unplugged Gaming,24032387,Pittsburgh,40.47,-79.95,Games,2017-05-26 09:31:50,active,193,approval,34,2018-01-19 18:00:00,13
South Hills of Pittsburgh Hiking/Walking Group,19773264,Lawrence,40.3,-80.13,Support,2016-03-29 11:20:29,active,541,approval,263,2018-01-20 13:00:00,3
Pittsburgh Women's Mastermind for Entrepreneurs: Robinson,16251642,Pittsburgh,40.44,-80.1,Career & Business,2014-08-07 16:47:30,active,601,open,64,2018-01-23 09:30:00,21
Pittsburgh North Moms and Families,1242568,Pittsburgh,40.55,-80.04,Parents & Family,2008-08-01 12:59:18,active,84,approval,1281,2018-01-22 10:00:00,1
Pittsburgh Women's Network,1561631,Pittsburgh,40.43,-80.05,Career & Business,2009-11-24 18:24:48,active,2561,open,89,2017-10-26 11:00:00,21
Zentanglers in Pittsburgh,10241662,Pittsburgh,40.47,-79.95,Hobbies & Crafts,2013-09-12 22:17:09,active,739,open,431,2018-01-22 18:30:00,1
Pittsburgh Paperback Drinkers Book Club,13324582,Pittsburgh,40.44,-79.95,Book Clubs,2014-03-13 11:07:56,active,646,open,45,2018-01-21 16:30:00,12
Non-Boring Books and Beyond in the Burgh,1769932,Pittsburgh,40.44,-79.95,Socializing,2011-01-21 04:41:56,active,477,open,404,2018-01-11 18:00:00,6
Southwest PA Wild Edible and Medicinal Plants Group,18419106,Bridgeville,40.36,-80.11,Health & Wellbeing,2015-02-07 23:38:15,active,908,open,80,2017-11-11 14:00:00,11
The Pittsburgh German Language Meetup Group,67787,Pittsburgh,40.45,-79.93,Language & Ethnic Identity,2002-12-04 22:22:51,active,902,open,381,2018-01-20 13:00:00,7
"Pgh 20s/30s International Friends, Travel and Food",27156346,Pittsburgh,40.47,-79.95,Language & Ethnic Identity,2018-01-14 14:10:54,active,62,open,0,,0
Pittsburgh Kayakers,268859,Glenshaw,40.52,-79.95,Outdoors & Adventure,2006-06-21 08:44:58,active,1589,open,395,2018-01-19 18:00:00,10
MONDO ITALIANO: Pittsburgh Italian Meetup,85432,Pittsburgh,40.43,-79.89,Language & Ethnic Identity,2003-03-08 04:03:21,active,982,open,1852,2018-01-22 18:45:00,3
Pittsburgh Mah Jongg,3544832,Pittsburgh,40.45,-79.91,Games,2012-03-25 15:35:29,active,397,open,415,2018-01-16 17:00:00,4
Pittsburgh LGBTQ+ Meetup,24206266,Pittsburgh,40.46,-80.03,LGBT,2017-06-01 12:23:27,active,301,open,24,2018-01-11 18:30:00,18
"MEEPLE (MEEt, Play, LEarn)",21620412,Pittsburgh,40.47,-79.95,Games,2016-12-18 08:48:34,active,300,open,43,2018-01-13 11:00:00,9
Introverts of Pittsburgh,20659442,Pittsburgh,40.47,-79.95,Health & Wellbeing,2016-10-08 23:53:59,active,60,open,34,2018-01-20 15:00:00,3
Pittsburgh Vegan Dining Meetup,25950132,Pittsburgh,40.47,-79.95,Food & Drink,2017-09-16 17:35:56,active,109,open,2,2017-10-27 19:00:00,5
Friday Faith & Fellowship!,13981532,Pittsburgh,40.47,-80.02,Religion & Beliefs,2014-04-18 13:13:20,active,395,open,184,2018-01-19 19:30:00,6
Pickin' at Pastoli's,18718827,Pittsburgh,40.43,-79.92,Music,2015-07-04 15:17:03,active,308,open,167,2018-01-20 19:00:00,2
Pittsburgh SQL Server User Group,16192762,Pittsburgh,40.43,-80.05,Tech,2014-08-04 17:14:17,active,382,open,39,2017-12-21 17:00:00,9
Steel City Travel Group,6926022,Bridgeville,40.36,-80.11,Outdoors & Adventure,2013-01-29 16:56:17,active,309,open,68,2018-01-20 13:00:00,16
"Pittsburgh area anxiety, shyness and depression meetup",1500486,Pittsburgh,40.45,-79.99,Support,2009-08-03 19:54:52,active,2548,approval,949,2018-01-17 19:00:00,1
The Pittsburgh Sunday Brunch Meetup Group,2677502,Pittsburgh,40.45,-79.93,Food & Drink,2011-10-19 17:04:09,active,332,approval,126,2018-01-21 11:30:00,8
Mellon Indoor-Tennis Group,18780063,Pittsburgh,40.45,-79.93,Sports & Recreation,2015-07-28 13:17:18,active,17,approval,148,2018-01-21 18:00:00,4
Phenomenal Women of Pittsburgh,19907198,Pittsburgh,40.47,-80.02,Socializing,2016-05-02 09:42:56,active,226,approval,129,2018-01-18 18:00:00,1
Healthcare Happenings,1738867,Pittsburgh,40.38,-80.07,Career & Business,2010-11-16 15:32:25,active,89,approval,3022,2018-01-22 11:30:00,3
"Salsa Dance Lessons, Pittsburgh! Meetup",13050542,Pittsburgh,40.44,-79.96,Dancing,2014-02-24 13:16:49,active,2196,open,278,2018-01-18 20:00:00,4
Pittsburgh Functional Programming Meetup,18680854,Pittsburgh,40.47,-79.95,Tech,2015-06-17 19:29:32,active,375,open,33,2018-01-08 19:00:00,23
Pittsburgh OMA Mind-Body-Spirit Wellness Meetup,18376813,Pittsburgh,40.5,-79.91,Health & Wellbeing,2015-01-25 07:12:45,active,1652,open,41,2018-01-18 19:00:00,8
"Pittsburgh Dining, Dancing & Movie Group  (Singles 45-60)",15124072,Pittsburgh,40.5,-79.91,Singles,2014-06-16 13:36:02,active,80,approval,168,2018-01-01 17:00:00,8
Irwin Game Night Group,18714864,Irwin,40.33,-79.72,Games,2015-07-02 14:09:52,active,54,approval,30,2018-01-20 18:00:00,11
Gatherings Singles Dances and Events,1558723,Pittsburgh,40.55,-80.04,Socializing,2009-11-18 11:08:18,active,1700,open,282,2017-12-22 16:00:00,31
Westmoreland Singles,9651262,Greensburg,40.3,-79.54,Singles,2013-08-03 20:44:27,active,48,approval,234,2018-01-20 20:00:00,6
Southwestern PA Investors Group - SWIG,1638546,Greensburg,40.3,-79.54,Career & Business,2010-04-29 22:50:09,active,632,open,94,2018-01-17 18:30:00,17
PITTSBURGH EUROGAMES,1581334,Pittsburgh,40.43,-79.92,Games,2010-01-12 13:29:59,active,1259,open,741,2018-01-21 13:30:00,2
The Pittsburgh Vegan Meetup,371591,Pittsburgh,40.43,-79.92,Food & Drink,2006-11-23 11:11:11,active,2515,open,600,2018-01-21 10:30:00,8
Francofous de Pittsburgh,4232582,Pittsburgh,40.43,-79.92,Language & Ethnic Identity,2012-07-04 15:01:32,active,530,open,713,2018-01-20 11:00:00,5
Sunday Assembly Pittsburgh,16778812,Pittsburgh,40.44,-79.95,Religion & Beliefs,2014-09-03 16:56:26,active,788,open,220,2018-01-22 18:45:00,2
Western PA. Stock Investing Education & Investment Clubs,7809052,Pittsburgh,40.45,-79.99,Career & Business,2013-03-27 13:34:17,active,596,open,129,2018-01-13 10:00:00,8
Pittsburgh Dancing Meetup,18228877,Pittsburgh,40.47,-79.95,Dancing,2014-12-02 22:38:22,active,2482,open,3039,2018-01-22 20:00:00,1
Duolingo Pittsburgh Spanish Meetup,24396758,Pittsburgh,40.47,-79.95,Language & Ethnic Identity,2017-06-10 17:10:45,active,297,open,5,2017-12-19 18:30:00,4
Results Coaching with Think and Create Results,25122230,Pittsburgh,40.47,-79.95,Career & Business,2017-07-24 19:44:54,active,147,open,14,2018-01-22 19:00:00,1
Pittsburgh Think and Grow Rich Mastermind,21216702,Pittsburgh,40.35,-79.98,Career & Business,2016-11-18 08:20:21,active,526,open,12,2017-12-29 11:00:00,20
Pittsburgh Sixth Sensory Meet UP,18619642,Pittsburgh,40.4,-80.04,Health & Wellbeing,2015-05-23 12:25:50,active,767,open,62,2018-01-18 19:00:00,10
I Meditate Pittsburgh,1931841,Pittsburgh,40.44,-79.95,Health & Wellbeing,2011-05-28 13:47:12,active,1384,open,320,2018-01-22 19:00:00,2
Pittsburgh Events!,14815192,Pittsburgh,40.45,-79.93,Socializing,2014-06-01 19:45:01,active,2551,open,1168,2018-01-21 10:00:00,6
PGH Game Makers,7168162,Pittsburgh,40.47,-79.95,Tech,2013-02-13 13:06:31,active,313,open,40,2018-01-20 14:00:00,10
Pittsburgh Business Analysts,19226486,Pittsburgh,40.47,-79.95,Tech,2015-12-20 03:19:56,active,417,open,23,2018-01-08 17:30:00,10
Pigtails and Pantie Lines-not your averge moms' club,20681671,Pittsburgh,40.47,-80.02,Parents & Family,2016-10-10 20:13:18,active,177,approval,16,2018-01-18 19:00:00,11
The Pittsburgh Russian Language Meetup,9640692,Pittsburgh,40.47,-79.92,Language & Ethnic Identity,2013-08-02 21:11:06,active,272,open,116,2018-01-18 19:00:00,8
North Hills Genealogists,16925632,Pittsburgh,40.55,-80.04,Parents & Family,2014-09-10 19:40:25,active,90,open,174,2018-01-20 14:00:00,1
Pittsburgh ASL Meetup,21977402,Pittsburgh,40.4,-79.97,Language & Ethnic Identity,2017-01-18 08:59:23,active,178,open,178,2018-01-21 13:00:00,3
Biophilia: Pittsburgh,9759622,Pittsburgh,40.44,-79.95,Community & Environment,2013-08-11 12:00:55,active,615,approval,66,2018-01-19 19:00:00,1
Pittsburgh Art Journals Meetup,19089927,Pittsburgh,40.43,-80.05,Arts & Culture,2015-11-04 09:34:12,active,179,open,17,2018-01-20 14:00:00,5
Pittsburgh Artificial Intelligence Meetup,26891807,Pittsburgh,40.47,-79.95,Tech,2017-12-17 01:16:21,active,84,open,1,2018-01-14 14:00:00,10
Pittsburgh Creative Nonfiction writing and reading,27002926,Pittsburgh,40.47,-79.95,Writing,2017-12-30 11:38:30,active,20,open,0,,0
Young Professionals of Pittsburgh (YPP),21539104,Pittsburgh,40.47,-80.02,Career & Business,2016-12-10 09:20:00,active,247,approval,11,2017-12-27 18:30:00,16
"Steel City eBay, Amazon & eCommerce Sellers Group",5000722,Pittsburgh,40.47,-80.02,Career & Business,2012-09-18 22:05:17,active,166,open,33,2017-11-03 17:30:00,13
Pittsburgh Bible Study,25869965,Pittsburgh,40.47,-79.92,Religion & Beliefs,2017-09-10 19:16:21,active,85,open,16,2018-01-22 19:00:00,9
Open Pittsburgh Yoga,1816691,Pittsburgh,40.47,-79.92,Health & Wellbeing,2011-04-17 19:13:31,active,2237,open,4839,2018-01-22 17:30:00,1
South Hills Dinner & a Movie Women's Group,3113672,Canonsburg,40.27,-80.15,Movies & Film,2012-01-16 11:47:40,active,878,open,210,2018-01-20 12:45:00,8
MOMS Club of Gibsonia/Mars,3018842,Gibsonia,40.63,-79.95,Parents & Family,2012-01-01 11:56:13,active,42,approval,925,2018-01-22 14:00:00,5
Westmoreland Ski Club,21266349,Greensburg,40.3,-79.54,Outdoors & Adventure,2016-11-23 19:09:37,active,120,open,19,2018-01-10 19:00:00,4
Pittsburgh / Northern Frontier Gaming Meetup,11031942,Cranberry Twp,40.71,-80.11,Games,2013-11-09 08:50:50,active,752,open,104,2018-01-20 15:00:00,8
Pittsburgh East End Knitting Meetup,19033002,Pittsburgh,40.43,-79.92,Hobbies & Crafts,2015-10-16 10:06:06,active,441,open,123,2018-01-18 19:30:00,4
Lovegroup Pittsburgh,20062839,Pittsburgh,40.43,-79.92,New Age & Spirituality,2016-06-11 19:56:43,active,788,open,39,2017-07-29 11:45:00,5
Pittsburgh Arthouse Films,741891,Pittsburgh,40.45,-79.99,Movies & Film,2007-10-09 12:25:21,active,2006,open,842,2018-01-21 16:25:00,5
Western Pennsylvania Scrum User Group,25393687,Pittsburgh,40.45,-79.99,Tech,2017-08-07 14:47:02,active,91,open,7,2018-01-17 19:00:00,8
Pittsburgh Active Singles,20006490,Pittsburgh,40.44,-80.07,Socializing,2016-05-28 11:39:17,active,1512,open,102,2018-01-22 18:30:00,6
Beginner Belly Dance Lessons,27143308,Pittsburgh,40.47,-79.95,Dancing,2018-01-13 09:47:36,active,29,open,0,,0
Pittsburgh Rust Coffee,20350880,Pittsburgh,40.47,-79.95,Tech,2016-08-24 19:13:43,active,219,open,73,2018-01-17 18:30:00,7
Build Guild Pittsburgh,18392388,Pittsburgh,40.47,-79.95,Tech,2015-01-29 10:21:18,active,328,open,36,2018-01-10 18:30:00,9
Outdoor Fun & Christian Faith Group,18411850,Cranberry Twp,40.71,-80.11,Outdoors & Adventure,2015-02-04 18:54:27,active,1247,open,142,2018-01-16 19:00:00,8
"Wampum Chapter, North Country Trail Association Meetup",12541412,Wampum,40.9,-80.34,Outdoors & Adventure,2014-01-28 11:11:50,active,529,open,306,2018-01-21 13:00:00,7
Morgantown Photography Club,24300404,Morgantown,39.63,-79.96,Photography,2017-06-05 19:17:48,active,91,open,13,2018-01-14 08:00:00,5
South Hills Area Gamers,26979162,Bethel Park,40.32,-80.04,Games,2017-12-27 14:52:48,active,33,open,1,2018-01-11 18:30:00,6
Burgh Adults,3599122,Pittsburgh,40.4,-80.04,Socializing,2012-04-03 11:00:30,active,5246,open,876,2017-12-25 16:30:00,8
Network After Work - Pittsburgh Networking Events,6504092,Pittsburgh,40.42,-79.98,Career & Business,2013-01-05 15:38:05,active,2931,open,52,2017-12-12 18:00:00,108
Strange Brew,3394792,Pittsburgh,40.43,-79.97,Food & Drink,2012-03-01 07:59:37,active,66,open,76,2018-01-16 18:30:00,8
Pittsburgh Self-Inquiry Group,20220488,Pittsburgh,40.44,-79.95,New Age & Spirituality,2016-07-24 19:58:33,active,194,open,36,2018-01-17 19:00:00,8
Reading Between the Wines - Eastern Suburbs,19827431,Pittsburgh,40.47,-79.95,Socializing,2016-04-11 09:38:36,active,1156,open,26,2017-12-14 19:00:00,5
Pittsburgh Art Meetup,25445930,Pittsburgh,40.47,-79.95,Arts & Culture,2017-08-11 02:06:17,active,228,open,21,2018-01-21 15:00:00,4
Pittsburgh Leadership Forum Meetup,22702032,Pittsburgh,40.47,-79.95,Education & Learning,2017-03-01 06:38:41,active,265,open,2,2017-08-21 17:00:00,2
District 13 Toastmasters,18898954,Pittsburgh,40.46,-79.9,Career & Business,2015-09-04 10:31:23,active,269,open,1057,2018-01-22 18:30:00,2
The Pittsburgh Writers Meetup Group,225467,Pittsburgh,40.5,-80.07,Writing,2006-02-25 07:21:48,active,49,approval,465,2018-01-20 18:00:00,6
New Kensington Art Center Meetup,19611993,New Kensington,40.58,-79.72,Arts & Culture,2016-02-22 23:32:57,active,218,approval,376,2018-01-22 19:00:00,4
Laurel Highlands Vegan Society,27051251,Ligonier,40.22,-79.22,Food & Drink,2018-01-04 13:49:54,active,36,open,1,2018-01-06 13:00:00,1
Pittsburgh Hip Single Parents,9067462,Pittsburgh,40.38,-80.04,Parents & Family,2013-06-24 09:41:27,active,342,approval,383,2018-01-19 18:00:00,7
Millionaire 101,27148745,Pittsburgh,40.42,-79.98,Career & Business,2018-01-13 19:57:22,active,27,open,1,2018-01-22 18:30:00,9
Life Options Pittsburgh,21990960,Pittsburgh,40.43,-79.97,Health & Wellbeing,2017-01-19 16:17:25,active,111,open,15,2018-01-10 09:30:00,7
All The Nerdy Ladies Pittsburgh,26674178,Pittsburgh,40.44,-79.96,Tech,2017-11-22 13:43:16,active,70,approval,2,2018-01-17 18:30:00,13
Pittsburgh-Wexford and Online Arabic Language Meetup,10366,Pittsburgh,40.43,-79.92,Language & Ethnic Identity,2003-10-22 16:39:49,active,420,approval,536,2018-01-14 18:00:00,5
Pittsburgh Sahaja Meditation Meetup,3088352,Pittsburgh,40.43,-79.92,Health & Wellbeing,2012-01-11 17:07:20,active,1168,open,1047,2018-01-21 15:30:00,1
Pittsburgh VR Meetup,19753660,Pittsburgh,40.44,-80.01,Tech,2016-03-24 16:06:59,active,153,open,5,2018-01-12 17:30:00,7
Pittsburgh Table Tennis clubs,8316422,Pittsburgh,40.44,-79.95,Sports & Recreation,2013-05-02 09:40:51,active,912,open,498,2018-01-21 10:00:00,3
ONA Pittsburgh,3664152,Pittsburgh,40.45,-79.98,Tech,2012-04-13 15:27:22,active,93,open,16,2017-12-27 18:30:00,10
Young Adult Book Club,26805762,Pittsburgh,40.47,-79.95,Book Clubs,2017-12-06 20:59:23,active,50,open,1,2017-12-17 12:00:00,2
Pittsburgh Cashflow Investing 101,22198691,Pittsburgh,40.47,-79.95,Career & Business,2017-02-01 21:08:15,active,200,open,16,2018-01-21 16:00:00,7
"Let's End Isolation Caused By Depression, Anxiety",17099012,Pittsburgh,40.47,-79.95,Support,2014-09-19 19:28:53,active,688,approval,185,2018-01-18 19:00:00,2
Come Write-In,26988009,Pittsburgh,40.47,-79.95,Writing,2017-12-28 15:59:30,active,47,open,1,2018-01-18 18:30:00,6
Pittsburgh Shambhala Meditation Center,19200370,Pittsburgh,40.47,-79.92,Health & Wellbeing,2015-12-10 09:50:10,active,318,open,216,2018-01-22 19:00:00,4
The Pittsburgh Widows and Widowers Meetup Group,1420980,Coraopolis,40.51,-80.18,Support,2009-03-29 13:00:33,active,467,approval,350,2017-12-22 17:00:00,4
Shamanic Healing Circle for Women,20101688,Greensburg,40.3,-79.54,New Age & Spirituality,2016-06-21 21:17:17,active,36,approval,14,2017-11-07 18:30:00,6
ORTC Outdoor Adventure Club,13452012,Monaca,40.67,-80.29,Outdoors & Adventure,2014-03-20 08:57:20,active,1879,open,388,2018-01-21 13:00:00,3
GTSBC North Country Trail Meetup,27005164,Lisbon,40.76,-80.76,Outdoors & Adventure,2017-12-30 17:16:46,active,70,open,1,2018-01-20 10:00:00,8
Greater Pittsburgh Science Fiction Book Discussion Group,1753834,Pittsburgh,40.38,-80.04,Book Clubs,2010-12-23 08:22:37,active,42,open,95,2017-12-27 19:00:00,5
Pittsburgh Girl's Night Out,19243822,Pittsburgh,40.4,-80.04,Socializing,2015-12-27 17:26:59,active,173,approval,53,2017-12-07 18:15:00,1
Let's Dance! Pittsburgh,1718733,Pittsburgh,40.4,-80.04,Dancing,2010-10-07 19:04:49,active,3234,open,1133,2018-01-19 22:00:00,1
The Pittsburgh Alternative Relationship Group,1690856,Pittsburgh,40.45,-79.98,Career & Business,2010-08-14 10:51:45,active,658,approval,284,2018-01-10 19:00:00,6
Pgh Dev UX,19087323,Pittsburgh,40.46,-80.03,Tech,2015-11-03 14:03:36,active,374,open,6,2017-10-14 08:00:00,19
Pittsburgh Bowling Social Mixer,5350012,North Versailles,40.39,-79.83,Socializing,2012-10-11 16:17:42,active,376,open,52,2018-01-17 19:00:00,3
The Woman's Happiness Project,20853773,Pittsburgh,40.47,-79.95,Career & Business,2016-10-22 09:19:34,active,50,approval,12,2018-01-07 12:00:00,7
Pittsburgh Social Singles,6297692,Pittsburgh,40.47,-79.95,Career & Business,2012-12-19 13:12:19,active,1554,open,133,2017-12-16 07:30:00,3
Pittsburgh Office 365 User Group,25397121,Pittsburgh,40.47,-79.95,Tech,2017-08-07 19:08:02,active,59,open,2,2018-01-17 12:30:00,8
Pittsburgh Team Handball,26374009,Pittsburgh,40.47,-79.95,Sports & Recreation,2017-10-24 15:18:55,active,56,open,9,2018-01-21 19:30:00,1
Pittsburgh 30s and 40s Ladies Social,27206665,Pittsburgh,40.47,-79.95,Food & Drink,2018-01-19 12:06:51,active,51,open,0,,0
Queens Lounge,27102330,Pittsburgh,40.47,-79.95,Socializing,2018-01-09 13:19:37,active,17,open,2,2018-01-21 00:00:00,5
Monroeville Christian Women's Fellowship,21800287,Pittsburgh,40.47,-79.95,Religion & Beliefs,2017-01-07 17:17:22,active,25,open,12,2018-01-19 20:30:00,8
"Big Data (Next Gen Hadoop) Ingest & Transform, Pittsburgh",20151155,Pittsburgh,40.47,-79.95,Tech,2016-07-05 23:39:31,active,321,open,74,2017-11-16 12:00:00,6
Polish Pittsburgh,18475259,Pittsburgh,40.47,-79.95,Movies & Film,2015-03-03 16:28:53,active,372,open,32,2017-11-10 20:30:00,9
Northland Library's Cookbook Club,26987322,Pittsburgh,40.47,-79.95,Food & Drink,2017-12-28 15:36:12,active,27,open,1,2018-01-08 19:30:00,5
Mon Valley PA Bicycle & Outdoors Meetup,18702478,Monongahela,40.2,-79.93,Outdoors & Adventure,2015-06-27 10:30:00,active,144,approval,104,2017-11-24 12:00:00,1
Pittsburgh's Active & Fun Just about 50 & more!,2835482,Pittsburgh,40.5,-79.91,Community & Environment,2011-11-18 22:09:49,active,674,approval,521,2018-01-20 20:00:00,4
GASP (Gaming Association of Southwestern PA),11242842,Pittsburgh,40.55,-80.04,Games,2013-11-25 15:54:31,active,474,open,81,2018-01-20 11:00:00,14
Pittsburgh Survivors Walk and Talk,26430379,Pittsburgh,40.48,-79.75,Fitness,2017-10-29 16:06:47,active,65,open,2,2017-12-02 11:30:00,15
MOMS Club of Allison Park/Glenshaw,8049712,Allison Park,40.57,-79.97,Parents & Family,2013-04-13 16:09:17,active,29,approval,603,2018-01-15 11:00:00,6
Life Begins at 40 (Women),7297572,Coraopolis,40.51,-80.18,Socializing,2013-02-22 10:09:55,active,675,approval,294,2018-01-16 06:30:00,6
AK Valley Metaphysics Group,18230797,New Kensington,40.58,-79.72,New Age & Spirituality,2014-12-03 20:59:21,active,299,open,214,2018-01-17 19:30:00,1
Greensburg Writers Group,19157462,Greensburg,40.3,-79.54,Writing,2015-11-26 15:03:20,active,176,open,39,2017-12-10 15:00:00,2
The Butler Knitting Meetup Group,215552,Butler,40.86,-79.9,Hobbies & Crafts,2005-12-03 23:53:50,active,185,open,291,2018-01-17 20:00:00,5
"Central PA Body, Mind & Spirit Group",19898155,Indiana,40.62,-79.16,New Age & Spirituality,2016-04-29 19:39:20,active,185,open,302,2018-01-21 14:00:00,6
Pittsburgh Nintendo Switch Fans,24980228,Pittsburgh,40.35,-79.98,Games,2017-07-14 06:59:50,active,39,approval,27,2018-01-17 21:00:00,1
Pittsburgh Volleyball Club,3299762,Pittsburgh,40.37,-80.02,Sports & Recreation,2012-02-15 14:30:02,active,2253,open,139,2017-10-28 14:00:00,1
Steel City Gamers,2949832,Pittsburgh,40.4,-79.97,Games,2011-12-14 14:25:17,active,689,open,1621,2018-01-22 18:00:00,0
Women in Community,22861660,Pittsburgh,40.38,-80.04,New Age & Spirituality,2017-03-12 15:46:35,active,337,open,4,2017-11-29 20:00:00,14
Books That Matter,9753132,Pittsburgh,40.43,-79.92,Book Clubs,2013-08-10 21:27:57,active,1571,open,43,2018-01-14 19:00:00,6
Pittsburgh Womens Travel Club,1764586,Pittsburgh,40.45,-79.98,Socializing,2011-01-12 14:53:16,active,1110,open,62,2017-12-26 20:00:00,1
GlobalPittsburgh: a group for globally-minded people,6708932,Pittsburgh,40.45,-79.99,Language & Ethnic Identity,2013-01-17 14:04:42,active,1064,open,164,2018-01-20 19:00:00,5
American Marketing Association- Pittsburgh Chapter,25311027,Pittsburgh,40.45,-79.99,Career & Business,2017-08-02 17:33:35,active,200,open,17,2018-01-18 12:30:00,1
