name,urlname,city,lat,lon,category,created,status,members,join_mode,past_event_count,last_event,last_rsvp
Pittsburgh Volleyball Club,pittsburghvolleyballclub,Pittsburgh,40.37,-80.02,Sports & Recreation,2012-02-15 13:30:02,active,2260,open,140,2018-01-24 19:30:00,21
Southwest PA Wild Edible and Medicinal Plants Group,swpa-wild-edibles,Bridgeville,40.36,-80.11,Health & Wellbeing,2015-02-07 23:38:15,active,909,open,80,2017-11-11 14:00:00,11
Pittsburgh OMA Mind-Body-Spirit Wellness Meetup,Pittsburgh-OMA-Mind-Body-Spirit-Wellness-Meetup,Pittsburgh,40.5,-79.91,Health & Wellbeing,2015-01-25 07:12:45,active,1654,open,41,2018-01-18 19:00:00,8
Pittsburgh Kayakers,pgh-kayaking,Glenshaw,40.52,-79.95,Outdoors & Adventure,2006-06-21 08:44:58,active,1591,open,396,2018-01-26 18:00:00,8
Pittsburgh Paperback Drinkers Book Club,Pittsburgh-Book-Club-Paperback-Drinkers,Pittsburgh,40.44,-79.95,Book Clubs,2014-03-13 11:07:56,active,649,open,45,2018-01-21 16:30:00,12
Pittsburgh useR Group,Pittsburgh-useR-Group,Pittsburgh,40.45,-79.93,Tech,2013-03-25 20:31:35,active,396,open,21,2017-11-08 18:30:00,11
"MEEPLE (MEEt, Play, LEarn)",MEEPLE-MEEt-Play-LEarn,Pittsburgh,40.47,-79.95,Games,2016-12-18 08:48:34,active,302,open,43,2018-01-13 11:00:00,9
Pittsburgh Vegan Dining Meetup,Pittsburgh-Vegan-Dining-Meetup,Pittsburgh,40.47,-79.95,Food & Drink,2017-09-16 17:35:56,active,117,open,3,2018-01-26 19:00:00,12
Introverts of Pittsburgh,All-Introverts-of-Pittsburgh,Pittsburgh,40.47,-79.95,Health & Wellbeing,2016-10-08 23:53:59,active,62,open,35,2018-01-25 19:00:00,7
Zentanglers in Pittsburgh,Zentanglers-in-Pittsburgh,Pittsburgh,40.47,-79.95,Hobbies & Crafts,2013-09-12 22:17:09,active,741,open,434,2018-01-25 12:00:00,11
Friday Faith & Fellowship!,Prime-Time-Joy,Pittsburgh,40.47,-80.02,Religion & Beliefs,2014-04-18 13:13:20,active,396,open,185,2018-01-26 19:30:00,8
Healthcare Happenings,HealthcareHappenings,Pittsburgh,40.38,-80.07,Career & Business,2010-11-16 15:32:25,active,88,approval,3026,2018-01-25 16:30:00,1
Pickin' at Pastoli's,Pickin-at-Pastolis,Pittsburgh,40.43,-79.92,Music,2015-07-04 15:17:03,active,309,open,168,2018-01-23 20:00:00,4
The Pittsburgh German Language Meetup Group,german-61,Pittsburgh,40.45,-79.93,Language & Ethnic Identity,2002-12-04 22:22:51,active,904,open,382,2018-01-24 18:30:00,8
"Salsa Dance Lessons, Pittsburgh! Meetup",Salsa-Dance-Lessons-Pittsburgh-Meetup,Pittsburgh,40.44,-79.96,Dancing,2014-02-24 13:16:49,active,2202,open,280,2018-01-25 20:00:00,1
Sunday Assembly Pittsburgh,Sunday-Assembly-Pittsburgh,Pittsburgh,40.44,-79.95,Religion & Beliefs,2014-09-03 16:56:26,active,788,open,220,2018-01-22 18:45:00,2
Pittsburgh Women's Network,DWC-Pittsburgh-Womens-Network,Pittsburgh,40.43,-80.05,Career & Business,2009-11-24 18:24:48,active,2562,open,90,2018-01-25 12:00:00,16
Steel City Travel Group,Steel-City-Travel-Group,Bridgeville,40.36,-80.11,Outdoors & Adventure,2013-01-29 16:56:17,active,309,open,68,2018-01-20 13:00:00,16
Pittsburgh Arthouse Films,pittsburgh-arthouse-films,Pittsburgh,40.45,-79.99,Movies & Film,2007-10-09 12:25:21,active,2008,open,842,2018-01-21 16:25:00,5
"Pittsburgh area anxiety, shyness and depression meetup",Pittsburgh-anxiety-shyness-depression,Pittsburgh,40.45,-79.99,Support,2009-08-03 19:54:52,active,2551,approval,950,2018-01-25 18:30:00,10
MONDO ITALIANO: Pittsburgh Italian Meetup,Pittsburgh-Italian-Speakers,Pittsburgh,40.43,-79.89,Language & Ethnic Identity,2003-03-08 04:03:21,active,982,open,1853,2018-01-23 18:45:00,1
The Pittsburgh Sunday Brunch Meetup Group,The-Pittsburgh-Happy-Hour-and-Sunday-Brunch-Meetup-Group,Pittsburgh,40.45,-79.93,Food & Drink,2011-10-19 17:04:09,active,332,approval,126,2018-01-21 11:30:00,8
Mellon Indoor-Tennis Group,Mellon-Tennis-Group,Pittsburgh,40.45,-79.93,Sports & Recreation,2015-07-28 13:17:18,active,17,approval,148,2018-01-21 18:00:00,4
Pittsburgh Mah Jongg,Pittsburgh-Mah-Jong,Pittsburgh,40.45,-79.91,Games,2012-03-25 15:35:29,active,397,open,416,2018-01-16 17:00:00,4
Pittsburgh LGBTQ+ Meetup,Pittsburgh-LGBT-Meetup,Pittsburgh,40.46,-80.03,LGBT,2017-06-01 12:23:27,active,302,open,24,2018-01-11 18:30:00,18
Duolingo Pittsburgh Spanish Meetup,Duolingo-Pittsburgh-Spanish,Pittsburgh,40.47,-79.95,Language & Ethnic Identity,2017-06-10 17:10:45,active,302,open,5,2017-12-19 18:30:00,4
Phenomenal Women of Pittsburgh,Phenomenal-Women-of-Pittsburgh,Pittsburgh,40.47,-80.02,Socializing,2016-05-02 09:42:56,active,226,approval,129,2018-01-18 18:00:00,1
Westmoreland Singles,Westmoreland-County-Singles,Greensburg,40.3,-79.54,Singles,2013-08-03 20:44:27,active,48,approval,235,2018-01-24 19:00:00,2
GTSBC North Country Trail Meetup,GTSBC-North-Country-Trail-Meetup,Lisbon,40.76,-80.76,Outdoors & Adventure,2017-12-30 17:16:46,active,74,open,2,2018-01-23 19:00:00,3
Lovegroup Pittsburgh,Lovegroup-Pittsburgh,Pittsburgh,40.43,-79.92,New Age & Spirituality,2016-06-11 19:56:43,active,791,open,40,2018-01-26 21:00:00,10
Pittsburgh Events!,Pittsburgh-Events-Social-Meetup,Pittsburgh,40.45,-79.93,Socializing,2014-06-01 19:45:01,active,2553,open,1179,2018-01-26 21:00:00,1
Pittsburgh Functional Programming Meetup,Pittsburgh-Functional-Programming-Meetup,Pittsburgh,40.47,-79.95,Tech,2015-06-17 19:29:32,active,376,open,33,2018-01-08 19:00:00,23
Pittsburgh Dancing Meetup,Pittsburgh-Dancing-Meetup,Pittsburgh,40.47,-79.95,Dancing,2014-12-02 22:38:22,active,2492,open,3054,2018-01-26 18:00:00,1
"Steel City eBay, Amazon & eCommerce Sellers Group",Steel-City-eBay-Amazon-and-eCommerce-Sellers-Group,Pittsburgh,40.47,-80.02,Career & Business,2012-09-18 22:05:17,active,167,open,33,2017-11-03 17:30:00,13
Open Pittsburgh Yoga,Open-Pittsburgh-Yoga,Pittsburgh,40.47,-79.92,Health & Wellbeing,2011-04-17 19:13:31,active,2242,open,4858,2018-01-26 18:00:00,1
Mon Valley PA Bicycle & Outdoors Meetup,Mon-Valley-PA-BicycleOutdoors,Monongahela,40.2,-79.93,Outdoors & Adventure,2015-06-27 09:30:00,active,144,approval,104,2017-11-24 11:00:00,1
Irwin Game Night Group,Irwin-Game-Night-Group,Irwin,40.33,-79.72,Games,2015-07-02 14:09:52,active,54,approval,30,2018-01-20 18:00:00,11
Gatherings Singles Dances and Events,Gatherings-Singles-Dances-and-Events,Pittsburgh,40.55,-80.04,Socializing,2009-11-18 11:08:18,active,1699,open,282,2017-12-22 16:00:00,31
Southwestern PA Investors Group - SWIG,Southwestern-PA-InvestorsGroup,Greensburg,40.3,-79.54,Career & Business,2010-04-29 22:50:09,active,634,open,94,2018-01-17 18:30:00,17
"Western Pa., Rails to Trails Bicyclers",Western-Pa-Rails-to-Trails-Bicyclers,Latrobe,40.31,-79.38,Outdoors & Adventure,2012-06-08 14:38:52,active,142,open,290,2017-12-07 09:30:00,1
I Meditate Pittsburgh,I-Meditate-Pittsburgh,Pittsburgh,40.44,-79.95,Health & Wellbeing,2011-05-28 13:47:12,active,1387,open,320,2018-01-22 19:00:00,2
Pittsburgh 30s and 40s Ladies Social,Pittsburgh-30s-and-40s-Ladies-Social,Pittsburgh,40.47,-79.95,Food & Drink,2018-01-19 12:06:51,active,61,open,0,,0
PGH Game Makers,PGH-Game-Makers,Pittsburgh,40.47,-79.95,Tech,2013-02-13 13:06:31,active,314,open,40,2018-01-20 14:00:00,10
Pittsburgh Bible Study,pittsburghchristians,Pittsburgh,40.47,-79.92,Religion & Beliefs,2017-09-10 19:16:21,active,86,open,17,2018-01-25 18:30:00,3
The Pittsburgh Russian Language Meetup,The-Pittsburgh-Russian-Language-Meetup-Group,Pittsburgh,40.47,-79.92,Language & Ethnic Identity,2013-08-02 21:11:06,active,273,open,116,2018-01-18 19:00:00,8
Pittsburgh Sixth Sensory Meet UP,sixsensoryliving,Pittsburgh,40.4,-80.04,Health & Wellbeing,2015-05-23 12:25:50,active,769,open,62,2018-01-18 19:00:00,10
The Pittsburgh Vegan Meetup,pittsburgh-vegans,Pittsburgh,40.43,-79.92,Food & Drink,2006-11-23 11:11:11,active,2516,open,600,2018-01-21 10:30:00,8
Pittsburgh Sahaja Meditation Meetup,Pittsburgh-Sahaja-Meditation-Meetup,Pittsburgh,40.43,-79.92,Health & Wellbeing,2012-01-11 17:07:20,active,1172,open,1048,2018-01-26 11:00:00,8
Francofous de Pittsburgh,pittsburgh-french-group,Pittsburgh,40.43,-79.92,Language & Ethnic Identity,2012-07-04 15:01:32,active,530,open,713,2018-01-20 11:00:00,5
PITTSBURGH EUROGAMES,Pittsburgh-Gamers-Meetup,Pittsburgh,40.43,-79.92,Games,2010-01-12 13:29:59,active,1258,open,742,2018-01-24 18:00:00,3
Pittsburgh Art Journals Meetup,Pittsburgh-Art-Journals-Meetup,Pittsburgh,40.43,-80.05,Arts & Culture,2015-11-04 09:34:12,active,180,open,17,2018-01-20 14:00:00,5
Western PA. Stock Investing Education & Investment Clubs,Western-PA-Stock-Investing-Education-Investment-Clubs,Pittsburgh,40.45,-79.99,Career & Business,2013-03-27 13:34:17,active,597,open,129,2018-01-13 10:00:00,8
Pgh Tech Meetup,Pgh-Tech,Pittsburgh,40.45,-79.93,Tech,2010-05-04 19:35:19,active,1916,open,139,2017-11-18 08:30:00,1
Pittsburgh Business Analysts,Pittsburgh-Business-Analysts,Pittsburgh,40.47,-79.95,Tech,2015-12-20 03:19:56,active,420,open,23,2018-01-08 17:30:00,10
Results Coaching with Think and Create Results,Results-Coaching-with-ThinkandCreateResults,Pittsburgh,40.47,-79.95,Career & Business,2017-07-24 19:44:54,active,148,open,15,2018-01-23 14:00:00,2
Pigtails and Pantie Lines-not your averge moms' club,pigtails-and-panty-lines,Pittsburgh,40.47,-80.02,Parents & Family,2016-10-10 20:13:18,active,178,approval,16,2018-01-18 19:00:00,11
"Pittsburgh Dining, Dancing & Movie Group  (Singles 45-60)",Pittsburgh-Dining-Dancing-and-Movie-Group,Pittsburgh,40.5,-79.91,Singles,2014-06-16 13:36:02,active,77,approval,168,2018-01-01 17:00:00,8
Women in Community,Women-in-Community,Pittsburgh,40.38,-80.04,New Age & Spirituality,2017-03-12 14:46:35,active,340,open,4,2017-11-29 19:00:00,14
